City part,Street,Size (m²),Price,Price per m²,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Þirmûnuose,Kareiviø ,38,350,9.21,FALSE,2,2,5,1981,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-kareiviu-g-mazos-komunalines-paslaugos-ir-ramus-kaimynai-4-840121/
Ðnipiðkëse,Sporto ,69,500,7.25,FALSE,2,6,9,2004,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-sporto-g-jaukus-ir-tvarkingas-butas-miesto-centre-prie-4-839959/
Ðnipiðkëse,Konstitucijos p,62,550,8.87,FALSE,2,6,27,2004,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-konstitucijos-pr-isnuomojamas-sviesus-2-k-butas-4-838539/
Naujininkuose,Telðiø ,42,440,10.48,FALSE,3,2,3,2015,0,FALSE,Mûrinis,Geoterminis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, kabelinë televizija, virtuvë sujungta su kambariu",Vieta automobiliui,"Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, duðo kabina, vonia","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-telsiu-g-puikiai-tinka-2-zmonem-kaip-share-flat-4-837089/
Ðnipiðkëse,Sporto ,70,500,7.14,TRUE,3,5,7,2004,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,Virtuvë sujungta su kambariu,,"Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-sporto-g-nuomojamas-jaukus-butas-salia-neries-4-821315/
Naujamiestyje,Mindaugo ,54.85,599,10.92,FALSE,2,2,5,2007,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Kabelinë televizija, virtuvë sujungta su kambariu",Terasa,"Vonia, su baldais, skalbimo maðina","Kodinë laiptinës spyna, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-erdvus-funkcionalaus-isplanavimo-4-829327/
Antakalnyje,M. K. Oginskio ,51,300,5.88,FALSE,2,3,5,1964,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-m-k-oginskio-g-isnuomojamas-erdvus-2-kambariu-butas-vilniuje-4-836637/
Ðnipiðkëse,Lvovo ,78.43,700,8.93,FALSE,3,7,7,2012,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-lvovo-g-isnuomojamas-erdvus-funkcionaliai-4-775429/
Senamiestyje,Subaèiaus ,31,165,5.32,TRUE,1,1,5,2008,0,FALSE,Mûrinis,Centrinis,Árengtas,"Atskiras áëjimas, nauja kanalizacija, nauja elektros instaliacija, internetas, virtuvë sujungta su kambariu",,"Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, duðo kabina","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-subaciaus-g-butas-naujai-irengtasnauji-baldai-bei-4-548921/
Paðilaièiuose,Ukmergës ,90,480,5.33,FALSE,3,1,2,2010,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-ukmerges-g-nuomojamas-labai-tvarkingas-geram-stovi-3-4-830847/
Senamiestyje,Didþioji ,45,650,14.44,TRUE,2,5,5,1955,0,FALSE,Mûrinis,Elektra,Árengtas,"Butas palëpëje, nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, virtuvë sujungta su kambariu","Sandëliukas, rûsys, vieta automobiliui, drabuþinë","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, duðo kabina","Ðarvuotos durys, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-didzioji-g-nuomojamas-pilnai-suremontuotas-ir-naujai-4-824335/
Fabijoniðkëse,Salomëjos Nëries ,45,335,7.44,FALSE,2,12,12,2008,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-isnuomoju-2-kambariu-buta-su-baldais-ir-4-841173/
Ðnipiðkëse,Linkmenø ,45.65,590,12.92,FALSE,2,2,3,2016,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-linkmenu-g-2016-m-name-linkmenu-g-6-nuomojamas-naujas-4-838797/
Paðilaièiuose,Pavilnioniø ,33,365,11.06,FALSE,2,2,7,2016,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-pavilnioniu-g-be-tarpininku-naujos-statybos-name-4-840893/
Uþupyje,Filaretø ,30,360,12,FALSE,1,1,2,1940,0,FALSE,Mûrinis,Dujinis,Árengtas,"Aukðtos lubos, nauja kanalizacija, nauja elektros instaliacija, virtuvë sujungta su kambariu",Rûsys,"Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, duðo kabina",Ðarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-filaretu-g-nuomojamas-1-kambario-loft-tipo-butas-4-840811/
Santariðkëse,Þaliøjø Eþerø ,36,290,8.06,FALSE,1,1,9,1982,2016,TRUE,Mûrinis,Centrinis kolektorinis,Árengtas,"Internetas, kabelinë televizija","Sandëliukas, balkonas","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-zaliuju-ezeru-g-mokyklos-800-m-vilniaus-jeruzales-4-840071/
Senamiestyje,M. Daukðos ,35,440,12.57,FALSE,2,1,2,1890,0,FALSE,Mûrinis,Kita,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-dauksos-g-naujai-irengtas-senamiestyje-sename-name-su-4-839707/
Senamiestyje,M. Daukðos ,30,420,14,FALSE,2,1,2,1890,0,FALSE,Mûrinis,Kita,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-dauksos-g-naujai-irengtas-senamiestyje-sename-name-su-4-839705/
Senamiestyje,Rasø ,40,390,9.75,FALSE,2,1,2,1940,0,FALSE,Mûrinis,Kita,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-rasu-g-naujai-irengtas-senamiestyje-rasu-g-24-4-746865/
Senamiestyje,Rasø ,35,390,11.14,FALSE,2,1,2,1940,0,FALSE,Mûrinis,Kita,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-rasu-g-naujai-irengtas-senamiestyje-rasu-g-24-4-752395/
Paðilaièiuose,Medeinos ,35,255,7.29,TRUE,1,3,3,1982,0,FALSE,Monolitinis,"Centrinis, elektra",Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-medeinos-g-nuo-2018-08-01-isnuomojamas-jaukus-1-k-butas-4-834135/
Pilaitëje,Ásruties ,34.47,390,11.31,TRUE,1,7,8,2016,0,FALSE,Blokinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-isruties-g-butas-naujai-irengtas-jame-dar-niekas-4-839407/
Þvëryne,Liepyno ,63,790,12.54,FALSE,3,5,5,2014,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Aukðtos lubos, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Balkonas, terasa, vieta automobiliui, drabuþinë","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-liepyno-g-labai-kokybiskai-irengtas-butas-salia-miesto-4-832793/
Naujamiestyje,Naugarduko ,52,400,7.69,FALSE,2,3,3,1940,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-nuomojamas-suremontuotas-2k-butas-4-840133/
Paðilaièiuose,Laisvës p,36,340,9.44,TRUE,1,4,5,2005,2005,TRUE,Mûrinis,Dujinis,Árengtas,Uþdaras kiemas,"Balkonas, vieta automobiliui","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, indaplovë, duðo kabina",Ðarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-laisves-pr-isnuomojamas-puikiai-irengtas-1-kambario-4-831181/
Senamiestyje,M. Daukðos ,80,950,11.88,FALSE,3,1,3,1940,0,FALSE,Mûrinis,Geoterminis,Árengtas,"Aukðtos lubos, butas per kelis aukðtus, kabelinë televizija, internetas",Terasa,"Vonia, su baldais, kondicionierius, skalbimo maðina","Kodinë laiptinës spyna, ðarvuotos durys, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-dauksos-g-nuomojamas-3-kambariu-butas-senamiestyje-4-833847/
Antakalnyje,Tvereèiaus ,128,900,7.03,FALSE,6,5,6,1996,0,FALSE,Mûrinis,Dujinis,Árengtas,Butas per kelis aukðtus,Balkonas,,,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-tvereciaus-g-isnomuoijamas-6k-butas-pusyne-antakalnyje-4-840697/
Ðnipiðkëse,A. Juozapavièiaus ,92,900,9.78,FALSE,3,8,11,2008,0,FALSE,Mûrinis,"Centrinis kolektorinis, centrinis",Árengtas,"Internetas, nauja kanalizacija, kabelinë televizija, nauja elektros instaliacija, virtuvë sujungta su kambariu","Balkonas, vieta automobiliui","Skalbimo maðina, su baldais, virtuvës komplektas, plastikiniai vamzdþiai, viryklë, ðaldytuvas, vonia","Videokameros, signalizacija, kodinë laiptinës spyna, ðarvuotos durys, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-a-juozapaviciaus-g-isskirtinis-klasikinio-stiliaus-butas-4-836167/
Paðilaièiuose,Perkûnkiemio ,52,400,7.69,FALSE,2,3,8,2010,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Balkonas, vieta automobiliui, drabuþinë","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, indaplovë, vonia","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna, videokameros, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-isnuomojamas-labai-gerai-irengtas-2-ju-4-839141/
Naujamiestyje,Mindaugo ,52,500,9.62,FALSE,2,3,5,2012,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Vieta automobiliui, drabuþinë","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, indaplovë, vonia","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-isnuomojamas-irengtas-2-kambariu-butas-be-4-839147/
Ðeðkinëje,Ukmergës ,52,340,6.54,FALSE,2,7,9,1980,0,FALSE,Blokinis,Centrinis,Árengtas,"Tualetas ir vonia atskirai, kabelinë televizija",Balkonas,"Vonia, su baldais, skalbimo maðina","Kodinë laiptinës spyna, ðarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-ukmerges-g-nuomuojamas-funkcionalaus-isplanavimo-ka-tik-4-840679/
Pilaitëje,Pajautos ,56,330,5.89,FALSE,2,1,5,1998,0,FALSE,Mûrinis,Centrinis,Árengtas,"Tualetas ir vonia atskirai, nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinë televizija","Sandëliukas, balkonas, rûsys, vieta automobiliui, drabuþinë","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-pajautos-g-nuomojamas-ilgam-laikui-minimum-1metam-4-839851/
Naujamiestyje,Tauro ,82,600,7.32,FALSE,2,6,6,1968,0,FALSE,Mûrinis,Dujinis,Árengtas,"Butas palëpëje, butas per kelis aukðtus, nauja elektros instaliacija, uþdaras kiemas, internetas, virtuvë sujungta su kambariu","Terasa, vieta automobiliui","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, duðo kabina","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-tauro-g-butas-nuomojamas-tarpininkams-agentams-4-841199/
Naujamiestyje,Naugarduko ,23,320,13.91,FALSE,1,3,5,1940,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-isnuomojami-2-studio-tipo-butai-su-visais-4-841167/
Paðilaièiuose,Giruliø ,45,390,8.67,FALSE,2,5,9,2008,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-giruliu-g-isnuomojamas-siltas-sviesus-ir-jaukus-2-4-841099/
Pilaitëje,M. Maþvydo ,42,400,9.52,FALSE,2,1,7,2010,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-nuo-rugsejo-1-d-nuomuojamaa-tvarkingas-2-4-841079/
Naujamiestyje,Þemaitës ,29,450,15.52,FALSE,1,7,9,2017,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-zemaites-g-isnuomojamas-1-k-29-kvm-butas-4-841061/
Pilaitëje,I. Kanto a,70.43,370,5.25,FALSE,3,6,9,1993,0,FALSE,Blokinis,"Centrinis, elektra",Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-i-kanto-al-nuomojamas-tvarkingas-triju-kambariu-butas-4-841057/
Pilaitëje,Ásruties ,49.23,450,9.14,FALSE,2,1,8,2017,0,FALSE,Monolitinis,Centrinis kolektorinis,Árengtas,"Internetas, virtuvë sujungta su kambariu","Terasa, vieta automobiliui","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-isruties-g-isnuomojamas-naujos-statybos-jaukus-ir-siltas-4-834081/
Jeruzalëje,Mokyklos ,75,550,7.33,FALSE,4,3,9,1994,0,FALSE,Mûrinis,Centrinis,Árengtas,Tualetas ir vonia atskirai,"Balkonas, rûsys","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-jeruzaleje-mokyklos-g-nuomojamas-4-kambariu-1-pereinamas-butas-4-841047/
Þirmûnuose,Vito Gerulaièio ,61,575,9.43,FALSE,3,3,5,2008,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-vito-gerulaicio-g-isnuomojamas-3-kambariu-butas-su-2-atskirais-4-841049/
Fabijoniðkëse,Salomëjos Nëries ,64,450,7.03,TRUE,3,11,12,2007,0,FALSE,Mûrinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-be-tarpininku-naujos-statytos-name-4-830543/
Ðiaurës miestelyje,Þygio ,43,520,12.09,FALSE,2,6,7,2017,0,FALSE,Monolitinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, virtuvë sujungta su kambariu","Sandëliukas, vieta automobiliui, balkonas, drabuþinë","Su baldais, skalbimo maðina, ðaldytuvas, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-zygio-g-naujas-2-kambariu-butas-su-parkingu-naujas-4-841039/
Paðilaièiuose,Perkûnkiemio ,80,500,6.25,FALSE,3,4,9,2008,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Internetas, kabelinë televizija, virtuvë sujungta su kambariu","Sandëliukas, balkonas","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-isnuomojamas-3k-butas-su-baldais-ir-buitine-4-841037/
Pilaitëje,M. Maþvydo ,32,350,10.94,FALSE,1,1,9,2017,0,FALSE,Monolitinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-isnuomojamas-32kvm-butas-pilaiteje-m-4-841033/
Fabijoniðkëse,Fabijoniðkiø ,65,700,10.77,FALSE,4,4,9,2017,0,FALSE,Mûrinis,"Centrinis kolektorinis, geoterminis",Árengtas,"Aukðtos lubos, tualetas ir vonia atskirai, nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Balkonas, vieta automobiliui, drabuþinë","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, indaplovë, duðo kabina","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-demesio-nuo-rugsejo-1-d-isnuomojamas-labai-4-841017/
Santariðkëse,Fizikø ,61,450,7.38,FALSE,2,4,4,2009,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Uþdaras kiemas, internetas, kabelinë televizija","Balkonas, vieta automobiliui","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-fiziku-g-pastaba-butas-nuomojamas-be-tarpininku-4-840635/
Ðnipiðkëse,Linkmenø ,31,380,12.26,FALSE,1,2,5,2017,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, virtuvë sujungta su kambariu",Balkonas,"Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-linkmenu-g-isnomuojamas-visiskai-naujas-vieno-kambario-4-840981/
Antakalnyje,Tvereèiaus ,31,260,8.39,FALSE,1,4,5,1970,0,FALSE,Mûrinis,Centrinis,Árengtas,,Balkonas,"Skalbimo maðina, su baldais, ðaldytuvas, viryklë, vonia",Ðarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-tvereciaus-g-laisvas-nuo-rugsejo-1d-1kambario-butas-4-840949/
Senamiestyje,Gedimino p,40,900,22.5,FALSE,1,2,5,2017,0,FALSE,Monolitinis,Centrinis kolektorinis,Árengtas,"Aukðtos lubos, uþdaras kiemas, kabelinë televizija, internetas, nauja kanalizacija, nauja elektros instaliacija, renovuotas namas, virtuvë sujungta su kambariu","Vieta automobiliui, balkonas, terasa, drabuþinë","Ðildomos grindys, su baldais, plastikiniai vamzdþiai, kondicionierius, skalbimo maðina, ðaldytuvas, virtuvës komplektas, viryklë, indaplovë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna, signalizacija, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-prabangus-apartamentai-be-tarpininku-4-840903/
Paðilaièiuose,Grigalaukio ,45,400,8.89,FALSE,2,5,9,2018,0,FALSE,Mûrinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Sandëliukas, balkonas","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, indaplovë, vonia","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-grigalaukio-g-naujas-ir-kokybiskai-irengtas-butas-laukia-4-840897/
Naujamiestyje,Smolensko ,40,530,13.25,FALSE,2,2,9,2018,0,FALSE,Monolitinis,Centrinis kolektorinis,Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinë televizija, virtuvë sujungta su kambariu","Sandëliukas, balkonas, vieta automobiliui, drabuþinë","Kondicionierius, skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, plastikiniai vamzdþiai, indaplovë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-isnuomojamas-naujai-irengtas-2-kambariu-butas-4-840885/
