District,Street,Area (m²),Price,Price/m²,Lower price,Number of rooms,Floor,Floors,Built year,Renovation year,Renovation,Building type,Heating type,Refurbishment,Features,Extra parts,Extra stuff,Security,Description,URL,City
Žirmūnuose,Kareivių ,38,350,9.21,FALSE,2,2,5,1981,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,"Mažos komunalinės paslaugos ir ramūs kaimynai. Butas nuomojamas su visais baldais ir buitine technika. Apžiūrėti galima nuo rugpjūčio 20 dienos. 861008321 NT agentų prašau neskambinti, tarpininkai nereikalingi.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-kareiviu-g-mazos-komunalines-paslaugos-ir-ramus-kaimynai-4-840121/,Vilnius
Šnipiškėse,Sporto ,69,500,7.25,FALSE,2,6,9,2004,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,"Jaukus ir tvarkingas butas miesto centre prie Neries. Vaizdas į Gedimino kalną, Senamiestį. Butas apstatytas, su visa virtuvės įranga, skalbimo mašina - vonios kambaryje. Yra tamsus kambarys buitinėms reikmėms.Virtuvė sujungta su svetaine. Butas šiltas, su reguliuojamu šildymu (šildymas reikalingas tik žiemos mėnesiais). Maži eksploatavimo kaštai.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-sporto-g-jaukus-ir-tvarkingas-butas-miesto-centre-prie-4-839959/,Vilnius
Šnipiškėse,Konstitucijos p,62,550,8.87,FALSE,2,6,27,2004,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,"Išnuomojamas šviesus  2 k. butas Konstitucijos pr., šalia Europos prekybos centro.  NUOMININKAMS AGENTŪROS MOKESČIO NĖRA! BENDRA INFORMACIJA Nuomos kaina – 550 eur Adresas – Konstitucijos pr.  Buto plotas – 62 kv.m.; Kambarių skaičius – 2 kambariai; Įrengimas – pilnai įrengtas; Aukštas – 6 iš 27; Šildymas – centrinis - kolektorinis Namo tipas – mūrinis; PATALPŲ ĮRANGA IR APDAILA Grindys – parketas; Sienos – dažytos; Langai – plastikiniai; Durys – šarvuotos; KITA INFORMACIJA Svetainė sujungta su virtuve; Vonia ir WC kartu, yra skalbimo mašina; Miegamajame erdvi sieninė spinta; Balkonas; Internetas, kabelinė TV; Fizinė apsauga visą parą; Graži miesto panorama Galite skambinti ir po 18h ir savaitgaliais!        ",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-konstitucijos-pr-isnuomojamas-sviesus-2-k-butas-4-838539/,Vilnius
Naujininkuose,Telšių ,42,440,10.48,FALSE,3,2,3,2015,0,FALSE,Mūrinis,Geoterminis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros","Puikiai tinka 2 žmonėm kaip ""share flat"", taip pat porai, mažai šeimai ar biurui. Bute 2 atskiri izoliuoti kambariai ir virtuvė sujungta su svetaine. Labai rami, žalia ir saugi vieta. Nauja statyba, aptverta teritorija, video kameros, automatiniai vartai ir domofonas. Parkavimas uždarame kieme, grilio namelis. Pastatas prižiūrimas vienų savininkų. Tvarkinga, jauki ir rami kaimynystė. Tik 2 kaimynai laiptinėje.  Komunaliniai: fiksuota dalis 115 EUR - viskas įskaičiuota, įskaitant šildymą, internetą, šiukšlių išvežimą, bendras namo išlaidas, parkavimą, administravimą ir teritorijos tvarkymą. Papildomai tik vanduo ir elektra pagal skaitliukus. Kainos nurodytos metų sutarčiai ir ilgiau. Tarpininkai, prašome tik su realiais nuomininkais . Nuomotojas tarpininkavimo mokesčio nemokės.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-telsiu-g-puikiai-tinka-2-zmonem-kaip-share-flat-4-837089/,Vilnius
Šnipiškėse,Sporto ,70,500,7.14,TRUE,3,5,7,2004,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,Virtuvė sujungta su kambariu,,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, kodinė laiptinės spyna","Nuomojamas jaukus butas šalia Nėries, prestižiniame gyvenamajame rajone su vaizdu į Nerį, Kalnų parką ir Gedimino pilį. Butas su baldais ir buitine technika. Vienas iš kambarių yra tamsus (su daliniu dienos apšvietimu, patenkančiu iš kitų kambarių). Tualetas ir vonia vienoje patalpoje. Mažos šildymo išlaidos ir komunaliniai mokesčiai.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-sporto-g-nuomojamas-jaukus-butas-salia-neries-4-821315/,Vilnius
Naujamiestyje,Mindaugo ,54.85,599,10.92,FALSE,2,2,5,2007,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Kabelinė televizija, virtuvė sujungta su kambariu",Terasa,"Vonia, su baldais, skalbimo mašina","Kodinė laiptinės spyna, signalizacija","Nuomojamas erdvus, funkcionalaus išplanavimo, naujos statybos 2-jų kambarių butas Naujamiestyje, Mindaugo gatvėje. Tai vieta, kur puikiai išvystyta infrastruktūra - visi reikalingiausi objektai šalia,o iki senamiesčio - vos 15 min. pėsčiomis. Butas su didžiule 27 kv.m. terasa, kurioje šiltuoju sezonu galėsite mėgautis maloniais vakarais. Namas yra su uždaru kiemu, vaikų žaidimo aikštele. ...................................................... Nėra jokių tarpininkavimo mokesčių!.........................................BENDRA INFORMACIJAAdresas: Mindaugo g. 23; Statybos metai: 2007 m.; Nuomos kaina - 599 eur./mėn+komunaliniai; Aukštas: 2/6; Bendras plotas: 54,85 kv.m.; Kambarių skaičius: 2; Šildymas: centrinis kolektorinis. ....................................................... IŠPLANAVIMASPrieškambaris: 3,90 kv.m.; Kambarys su virtuve: 31,18 kv.m.; Miegamasis kambarys: 14,07 kv.m.; San. mazgas: 5,70 kv.m.; Terasa: 27,48 kv.m........................................................... PARKAVIMAS Požeminė parkavimo vieta +30 eurų. .......................................... PRIVALUMAI Funkcionalus buto išplanavimas; Gera lokacija; Aptverta namo teritorija, stebėjimo kameros; Kodinė laiptinės spyna; Terasa................................................................................ INFRASTRUKTŪRA IR SUSISIEKIMASAtstumas iki miesto centro - 1,56 km; Atstumas iki A. Mickevičiaus gimnazijos - 320 m; Atstumas iki S.Daukanto pagrindinės mokyklos - 380 m; Atstumas iki lopšelio-darželio ""Pagrandukas"" - 350 m; Atstumas iki parduotuvės ""Iki Mindaugo"" - 60 m; Atstumas iki visą parą dirbančios parduotuvės ""Maxima"" - 500 m; Atstumas iki Centro poliklinikos - 700 m; Atstumas iki Power Gym sporto klubo - 420 m; Atstumas iki artimiausios viešojo transporto stotelės ""Aguonų"" - 210 m;        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-erdvus-funkcionalaus-isplanavimo-4-829327/,Vilnius
Antakalnyje,M. K. Oginskio ,51,300,5.88,FALSE,2,3,5,1964,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,"Išnuomojamas ERDVUS 2 kambarių butas Vilniuje, Antakalnyje, Oginskio g. VISAI NETOLI SAULĖTEKIO  --- Butas išnuomojamas su visais baldais, bei nauja buitine technika (šaldytuvas, virtuvės komplektas, viryklė, vonia) --- Vienas kambarys pereinamas --- Erdvi virtuvė --- WC ir vonia - vienoje patalpoje --- Vienas kambarys didelis (svetainė), kitas mažesnis. --- Lieka dalis antikvarinių baldų, didelis televizorius.  --- Yra balkonas --- Langai į kiemą, absoliučiai rami vieta --- Namo laiptinė rakinama --- Butas jau laisvas --- Patogus susisiekimas individualiu bei visuomeniniu transportu, studentams visai šalia Saulėtekis, visai netoli viešojo transporto stotelės. Butas puikiai tinkamas gyventi keliems dirbantiems studentams. JEI BUTAS TIKS - BUS TAIKOMAS VIENKARTINIS TARPININKAVIMO MOKESTIS (200€) darius@lorus.lt +370 671 02996 Suteiksiu NEMOKAMĄ konsultaciją visais NT klausimais! ",http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-m-k-oginskio-g-isnuomojamas-erdvus-2-kambariu-butas-vilniuje-4-836637/,Vilnius
Šnipiškėse,Lvovo ,78.43,700,8.93,FALSE,3,7,7,2012,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,"IŠNUOMOJAMAS ERDVUS, FUNKCIONALIAI IŠPLANUOTAS BEI SU DIDŽIULE TERASA 3 K. BUTAS LVOVO G., ŠNIPIŠKĖSE, VILNIUJE!  ---------------------------------------------------------------------------------  BUTO PRIVALUMAI:  - MODERNIAI ĮRENGTAS ERDVUS BUTAS;  - EKONOMIŠKAS IŠLAIKYMAS;  - CENTRINIS-KOLEKTORINIS ŠILDYMAS;  - KOKYBIŠKA BUITINĖ TECHNIKA;  - VITRININIAI LANGAI SUTEIKIANTYS BUTUI ERDVĖS IR ŠVIESOS;  - DIDELĖ TERASA (26 KV.M.);  - BALKONAS (6 KV. M.).  ---------------------------------------------------------------------------------  BENDRA INFORMACIJA APIE BUTĄ:  - Buto nuomos kaina – 700 Eur/mėn.  - Adresas – Lvovo g. 89A  - Bendras plotas – 78.03 kv.m  - Kambarių sk. – 3  - Aukštas – 7 iš 7  - Namo tipas - Mūrinis  - Statybos metai - 2012 m.  - Šildymas - Centrinis-kolektorinis  - Būklė - Pilnai įrengtas, su baldais ir buitine technika  ---------------------------------------------------------------------------------  IŠPLANAVIMAS:  - Miegamasis: 13.65 m²  - Kambarys: 13.75 m²  - Vonia: 5.34 m²  - Svetainė: 23.67 m²  - Virtuvė ir valgomasis: 22.04 m²  - Terasa: 26.44 m²  - Balkonas: 6.07 m²  ---------------------------------------------------------------------------------  ATSTUMAI:  ~ 1 km - Citybee aikštelė; Darželiai  ~ 480 m Nevalstybinis vaikų darželis ""Nendrė""  ~ 760 m Vilniaus lopšelis-darželis ""Švelnukas""  ~ 920 m Vilniaus Neries vaikų darželis  Mokymo įstaigos:  ~ 170 m Vilniaus Vladislavo Sirokomlės vidurinė mokykla  ~ 370 m Vilniaus kooperacijos kolegija, VšĮ  ~ 640 m Lietuvos edukologijos universitetas  Parduotuvės:  ~ 470 m „Maxima”, Konstitucijos pr. 7a, Vilnius  ~ 590 m „Aibė”, G. Vilko g. 34A, Vilnius  ~ 640 m „Maxima”, Upės g. 9, Vilnius  Viešojo transporto stotelės:  ~ 150 m Nacionalinė dailės galerija  ~ 160 m Šnipiškės  ~ 300 m Lietuvos sąjūdžio kelias        ",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-lvovo-g-isnuomojamas-erdvus-funkcionaliai-4-775429/,Vilnius
Senamiestyje,Subačiaus ,31,165,5.32,TRUE,1,1,5,2008,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Atskiras įėjimas, nauja kanalizacija, nauja elektros instaliacija, internetas, virtuvė sujungta su kambariu",,"Kondicionierius, skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna","Butas yra Subaciaus gatveje 45 senamiestyje priesais Uzupio apzvalgos aikstele.Visiskai naujai irengtas su naujais virtuves bei miegamojo baldais.Buto kvadratura 28m2 Nauja buitine tehnika bei santehnika,Internetas TV signalizacija priduota apsaugai,atskiras iejimas atskira laiptine parkingas, iki rotuses aikstes 6 min. pesciomis Kaina 165 eur men.Autonominis Sildymas Pigios komunalines.Butas pilnai paruostas gyvenimui su visais baldais,sofa lova komoda,darbo stalas,irengtas tarp kitu gyvenamuju patalpu del to neturi lango i lauka,taciau del to yra labai siltas,taip pat yra irengta rekuperacijos sistema ir i buta tiekiamas sviezias oras 24 val.Butas labiausiai tiktu gyventi 1 zmogui. Butas Is pirmu ranku,be tarpininku. SUTARTIES SUDARYMO MOKESTIS 45 EUR        ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-subaciaus-g-butas-naujai-irengtasnauji-baldai-bei-4-548921/,Vilnius
Pašilaičiuose,Ukmergės ,90,480,5.33,FALSE,3,1,2,2010,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,"Nuomojamas vienam-dviem asmenim (be gyvūnų) labai tvarkingas ,geram stovį 3 kambarių, 90 kv.m. butas-kotedžas,Pašilaičiuose, Ukmerges g., 1-2 aukštai su atskirų įėjimų. Bute yra 2 miegamieji kambariai, svetainė su atskira virtuvė,dušas ir 2- WC). Virtuvė – pilnai įrengta, su visa buitinė technika (viryklė, orkaitė, mikrobangų krosnelė, indaplovė, šaldytuvas). Parkavimas – garažas !) Butui priklauso žalia zona aptverta.Išlaikymas ekonomiškas.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-ukmerges-g-nuomojamas-labai-tvarkingas-geram-stovi-3-4-830847/,Vilnius
